"sample","cas_rn","ALS.Parameter.Names","USGS.Parameter.Names","UNITS","Units"
"15_RAMA_T25_3_0.2_2018-08-22","7429-90-5","Aluminum","Aluminum, wf","ug/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-08-22","7429-90-5","Aluminum","Aluminum, wu,recov","ug/l"," ug/l"
"15_RAMA_16.7_2018-09-05","7429-90-5","Aluminum","Aluminum, wf","ug/l"," ug/l"
"15_RAMA_16.7_2018-09-05","7429-90-5","Aluminum","Aluminum, wu,recov","ug/l"," ug/l"
"15_RAMA_16.1_2018-07-31","7429-90-5","Aluminum","Aluminum, wf","ug/l"," ug/l"
"15_RAMA_16.1_2018-07-31","7429-90-5","Aluminum","Aluminum, wu,recov","ug/l"," ug/l"
"15_RAMA_16.8_2018-08-22","7429-90-5","Aluminum","Aluminum, wf","ug/l"," ug/l"
"15_RAMA_16.8_2018-08-22","7429-90-5","Aluminum","Aluminum, wu,recov","ug/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-07-23","7429-90-5","Aluminum","Aluminum, wf","ug/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-07-23","7429-90-5","Aluminum","Aluminum, wu,recov","ug/l"," ug/l"
"15_RAMA_16.7_2018-07-31","7429-90-5","Aluminum","Aluminum, wf","ug/l"," ug/l"
"15_RAMA_16.7_2018-07-31","7429-90-5","Aluminum","Aluminum, wu,recov","ug/l"," ug/l"
"15_KJSTP_001_2018-07-23","7429-90-5","Aluminum","Aluminum, wf","ug/l"," ug/l"
"15_KJSTP_001_2018-07-23","7429-90-5","Aluminum","Aluminum, wu,recov","ug/l"," ug/l"
"15_KJSTP_001_2018-08-01","7429-90-5","Aluminum","Aluminum, wf","ug/l"," ug/l"
"15_KJSTP_001_2018-08-01","7429-90-5","Aluminum","Aluminum, wu,recov","ug/l"," ug/l"
"15_RAMA_4.8_2018-10-01","7429-90-5","Aluminum","Aluminum, wf","ug/l"," ug/l"
"15_RAMA_4.8_2018-10-01","7429-90-5","Aluminum","Aluminum, wu,recov","ug/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-08-01","7429-90-5","Aluminum","Aluminum, wf","ug/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-08-01","7429-90-5","Aluminum","Aluminum, wu,recov","ug/l"," ug/l"
"15_RAMA_16.5_2018-07-31","7429-90-5","Aluminum","Aluminum, wf","ug/l"," ug/l"
"15_RAMA_16.5_2018-07-31","7429-90-5","Aluminum","Aluminum, wu,recov","ug/l"," ug/l"
"15_RAMA_18.6_2018-07-23","7429-90-5","Aluminum","Aluminum, wf","ug/l"," ug/l"
"15_RAMA_18.6_2018-07-23","7429-90-5","Aluminum","Aluminum, wu,recov","ug/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-10-02","7429-90-5","Aluminum","Aluminum, wf","ug/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-10-02","7429-90-5","Aluminum","Aluminum, wu,recov","ug/l"," ug/l"
"15_RAMA_1.1_2018-07-31","7429-90-5","Aluminum","Aluminum, wf","ug/l"," ug/l"
"15_RAMA_1.1_2018-07-31","7429-90-5","Aluminum","Aluminum, wu,recov","ug/l"," ug/l"
"15_KJSTP_001_2018-10-02","7429-90-5","Aluminum","Aluminum, wf","ug/l"," ug/l"
"15_KJSTP_001_2018-10-02","7429-90-5","Aluminum","Aluminum, wu,recov","ug/l"," ug/l"
"15_RAMA_T25_3_0.3_2018-08-22","7429-90-5","Aluminum","Aluminum, wf","ug/l"," ug/l"
"15_RAMA_T25_3_0.3_2018-08-22","7429-90-5","Aluminum","Aluminum, wu,recov","ug/l"," ug/l"
"15_RAMA_16.8_2018-07-23","7429-90-5","Aluminum","Aluminum, wf","ug/l"," ug/l"
"15_RAMA_16.8_2018-07-23","7429-90-5","Aluminum","Aluminum, wu,recov","ug/l"," ug/l"
"15_RAMA_11.8_2018-10-01","7429-90-5","Aluminum","Aluminum, wf","ug/l"," ug/l"
"15_RAMA_11.8_2018-10-01","7429-90-5","Aluminum","Aluminum, wu,recov","ug/l"," ug/l"
"15_RAMA_16.1_2018-10-01","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_16.7_2018-07-31","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_16.8_2018-08-01","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_1.1_2018-10-01","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_T25_3_0.3_2018-08-01","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_13.3_2018-09-05","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_11.8_2018-08-21","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_16.8_2018-07-23","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_KJSTP_001_2018-08-22","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-08-01","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_11.8_2018-07-31","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_1.1_2018-09-05","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_16.1_2018-09-05","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_16.1_2018-07-31","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_16.8_2018-09-06","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_1.1_2018-07-31","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_16.5_2018-09-05","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_4.8_2018-08-21","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_16.7_2018-08-21","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_18.6_2018-09-06","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_18.6_2018-08-01","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_13.3_2018-07-31","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_16.8_2018-10-02","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_11.8_2018-10-01","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_18.6_2018-07-23","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_16.5_2018-10-01","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-10-02","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_13.3_2018-08-21","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-08-22","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_1.1_2018-08-21","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-07-23","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_11.8_2018-09-05","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-09-06","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_16.1_2018-08-21","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_16.8_2018-08-22","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_13.3_2018-10-01","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_T25_3_0.3_2018-08-22","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_4.8_2018-07-31","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_18.6_2018-10-02","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_4.8_2018-09-05","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_4.8_2018-10-01","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_KJSTP_001_2018-09-06","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_16.7_2018-10-02","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_16.7_2018-09-05","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_16.5_2018-08-21","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_16.5_2018-07-31","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_18.6_2018-08-22","7439-89-6","Iron","Iron, wu","ug/l"," ug/l"
"15_RAMA_T25_3_0.3_2018-08-22","7439-92-1","Lead","Lead, wf","ug/l"," ug/l"
"15_RAMA_T25_3_0.3_2018-08-22","7439-92-1","Lead","Lead, wu","ug/l"," ug/l"
"15_RAMA_16.1_2018-08-21","7439-92-1","Lead","Lead, wf","ug/l"," ug/l"
"15_RAMA_16.1_2018-08-21","7439-92-1","Lead","Lead, wu","ug/l"," ug/l"
"15_RAMA_16.7_2018-08-21","7439-92-1","Lead","Lead, wf","ug/l"," ug/l"
"15_RAMA_16.7_2018-08-21","7439-92-1","Lead","Lead, wu","ug/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-08-22","7439-92-1","Lead","Lead, wf","ug/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-08-22","7439-92-1","Lead","Lead, wu","ug/l"," ug/l"
"15_RAMA_18.6_2018-08-22","7439-92-1","Lead","Lead, wf","ug/l"," ug/l"
"15_RAMA_18.6_2018-08-22","7439-92-1","Lead","Lead, wu","ug/l"," ug/l"
"15_RAMA_16.5_2018-08-21","7439-92-1","Lead","Lead, wf","ug/l"," ug/l"
"15_RAMA_16.5_2018-08-21","7439-92-1","Lead","Lead, wu","ug/l"," ug/l"
"15_RAMA_4.8_2018-08-21","7439-92-1","Lead","Lead, wf","ug/l"," ug/l"
"15_RAMA_4.8_2018-08-21","7439-92-1","Lead","Lead, wu","ug/l"," ug/l"
"15_RAMA_16.8_2018-07-23","7439-92-1","Lead","Lead, wf","ug/l"," ug/l"
"15_RAMA_16.8_2018-07-23","7439-92-1","Lead","Lead, wu","ug/l"," ug/l"
"15_RAMA_16.8_2018-08-22","7439-92-1","Lead","Lead, wf","ug/l"," ug/l"
"15_RAMA_16.8_2018-08-22","7439-92-1","Lead","Lead, wu","ug/l"," ug/l"
"15_RAMA_18.6_2018-07-23","7439-92-1","Lead","Lead, wf","ug/l"," ug/l"
"15_RAMA_18.6_2018-07-23","7439-92-1","Lead","Lead, wu","ug/l"," ug/l"
"15_RAMA_13.3_2018-08-21","7439-92-1","Lead","Lead, wf","ug/l"," ug/l"
"15_RAMA_13.3_2018-08-21","7439-92-1","Lead","Lead, wu","ug/l"," ug/l"
"15_RAMA_1.1_2018-08-21","7439-92-1","Lead","Lead, wf","ug/l"," ug/l"
"15_RAMA_1.1_2018-08-21","7439-92-1","Lead","Lead, wu","ug/l"," ug/l"
"15_RAMA_16.7_2018-09-05","7439-92-1","Lead","Lead, wf","ug/l"," ug/l"
"15_RAMA_16.7_2018-09-05","7439-92-1","Lead","Lead, wu","ug/l"," ug/l"
"15_RAMA_11.8_2018-07-31","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_16.8_2018-08-22","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_16.1_2018-10-01","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_16.5_2018-07-10","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_OCSDSTP_001_2018-08-01","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_16.5_2018-09-05","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-10-02","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_1.1_2018-09-05","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_13.3_2018-07-10","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-08-01","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_11.8_2018-08-21","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_13.3_2018-09-05","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_4.8_2018-08-21","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_16.1_2018-09-05","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_16.8_2018-10-02","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_16.5_2018-08-21","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-08-22","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_16.1_2018-07-31","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_16.8_2018-08-01","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-07-11","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_KJSTP_001_2018-07-23","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_1.1_2018-08-21","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_11.8_2018-07-10","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_16.7_2018-07-31","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_18.6_2018-08-22","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_16.7_2018-08-21","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_1.1_2018-07-10","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_18.6_2018-09-06","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_OCSDSTP_001_2018-08-21","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_16.5_2018-10-01","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_4.8_2018-07-10","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_16.8_2018-09-06","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_16.8_2018-07-23","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_18.6_2018-07-11","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_16.5_2018-07-31","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_KJSTP_001_2018-07-11","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_11.8_2018-10-01","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_13.3_2018-07-31","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_11.8_2018-09-05","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_1.1_2018-07-31","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-09-06","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_OCSDSTP_001_2018-07-10","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-07-23","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_1.1_2018-10-01","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_KJSTP_001_2018-09-06","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_16.8_2018-07-11","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_4.8_2018-10-01","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_18.6_2018-08-01","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_KJSTP_001_2018-08-22","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_16.1_2018-07-10","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_16.1_2018-08-21","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_T25_3_0.3_2018-08-01","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_OCSDSTP_001_2018-09-05","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_13.3_2018-10-01","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_KJSTP_001_2018-08-01","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_KJSTP_001_2018-10-02","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_18.6_2018-10-02","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_T25_3_0.3_2018-08-22","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_16.7_2018-07-10","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_OCSDSTP_001_2018-10-01","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_4.8_2018-07-31","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_13.3_2018-08-21","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_16.7_2018-09-05","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_18.6_2018-07-23","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_16.7_2018-10-02","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_4.8_2018-09-05","7439-95-4","Magnesium","Magnesium, wu,recov","ug/l"," ug/l"
"15_RAMA_1.1_2018-08-21","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_RAMA_11.8_2018-08-21","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_RAMA_16.1_2018-07-31","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_RAMA_16.7_2018-07-31","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_RAMA_11.8_2018-07-31","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_RAMA_16.8_2018-08-22","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_RAMA_16.1_2018-09-05","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_RAMA_16.8_2018-10-02","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_RAMA_1.1_2018-09-05","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_RAMA_1.1_2018-07-10","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_OCSDSTP_001_2018-07-10","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_RAMA_16.8_2018-07-23","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_RAMA_16.1_2018-10-01","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_RAMA_16.8_2018-09-06","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_KJSTP_001_2018-07-23","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_RAMA_1.1_2018-07-31","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_RAMA_13.3_2018-09-05","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_RAMA_16.5_2018-07-10","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_RAMA_16.5_2018-09-05","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_RAMA_4.8_2018-08-21","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_KJSTP_001_2018-10-02","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_RAMA_11.8_2018-10-01","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_RAMA_11.8_2018-07-10","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-09-06","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_OCSDSTP_001_2018-08-21","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_RAMA_18.6_2018-08-22","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_RAMA_16.8_2018-08-01","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_RAMA_16.5_2018-08-21","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_RAMA_16.1_2018-07-10","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-08-22","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-10-02","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_KJSTP_001_2018-08-22","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
"15_RAMA_T25_3_0.2_2018-07-11","7439-96-5","Manganese","Manganese, wu","ug/l"," ug/l"
